"","id","famrel_1997","sex","bmonth","byear","praised","prelpref","psraised","psrelpref","agemon_1997","ageyear_1997","samplesype","race","famrel_1998","agemon_1998","ageyear_1998","famrel_1999","agemon_1999","ageyear_1999","famrel_2000","attend_2000","agemon_2000","ageyear_2000","attend_2001","agemon_2001","ageyear_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","ageyear_2002","agemon_2003","ageyear_2003","attend_2003","agemon_2004","ageyear_2004","attend_2004","agemon_2005","ageyear_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","ageyear_2006","attend_2006","agemon_2007","ageyear_2007","attend_2007","agemon_2008","ageyear_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","ageyear_2009","attend_2009","agemon_2010","ageyear_2010","attend_2010","attcat_2000","attcat_2001","attcat_2002","attcat_2003","attcat_2004","attcat_2005","attcat_2006","attcat_2007","attcat_2008","attcat_2009","attcat_2010","transcat_2001","transcat_2002","transcat_2003","transcat_2004","transcat_2005","transcat_2006","transcat_2007","transcat_2008","transcat_2009","transcat_2010"
"1340",1342,-4,1,3,1980,2,2,2,2,206,17,1,4,-4,224,18,-4,236,19,-4,6,248,20,6,261,21,6,1,1,1,1,1,274,22,286,23,6,297,24,7,308,25,2,7,1,1,1,0,1,320,26,7,332,27,7,344,28,2,7,1,1,1,1,1,354,29,6,369,30,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"1341",1343,-4,1,12,1980,2,27,1,1,196,16,1,4,-4,216,17,-4,227,18,-4,3,241,20,3,253,21,1,0,0,0,1,0,264,22,275,22,1,288,23,1,301,25,2,1,0,1,0,0,0,311,25,2,322,26,1,334,27,27,1,1,1,0,NA,0,346,28,1,358,29,1,"2","2","1","1","1","1","1","1","1","1","1","22","21","11","11","11","11","11","11","11","11"
"1342",1344,0,2,10,1983,2,27,1,1,162,13,1,4,0,182,15,0,193,16,0,2,207,17,2,219,18,2,1,0,1,1,0,230,19,243,20,3,255,21,2,265,22,-2,2,NA,NA,1,1,NA,276,23,1,289,24,2,300,24,-2,1,NA,NA,1,1,1,312,25,1,324,26,2,"1","1","1","2","1","1","1","1","1","1","1","11","11","12","21","11","11","11","11","11","11"
"1345",1347,3,2,1,1983,1,1,2,27,171,14,1,4,1,190,15,1,202,16,1,6,214,17,4,228,19,3,0,0,1,1,0,241,20,251,20,3,264,21,5,275,22,1,2,0,0,0,1,0,288,24,2,298,24,6,310,25,1,6,1,1,1,1,1,320,26,6,333,27,3,"3","2","2","2","2","1","1","3","3","3","2","32","22","22","22","21","11","13","33","33","32"
"1347",1349,7,1,9,1983,12,11,12,11,163,13,1,4,3,182,15,7,194,16,7,6,207,17,7,219,18,6,1,1,1,1,1,232,19,245,20,6,255,21,7,268,22,11,7,0,1,1,1,1,280,23,7,289,24,6,303,25,2,6,0,1,1,1,1,313,26,6,326,27,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"1348",1350,0,2,11,1983,1,1,1,1,164,13,1,2,1,180,14,2,195,16,0,1,209,17,2,218,18,1,1,0,1,0,1,229,19,240,19,2,255,21,2,264,21,1,2,1,1,1,0,1,276,22,1,287,23,1,300,24,1,2,1,NA,1,0,0,311,25,1,324,26,2,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1349",1351,-4,1,11,1981,1,1,1,1,183,15,1,2,-4,206,17,-4,217,18,-4,2,229,19,2,242,20,1,0,0,0,1,0,253,21,264,21,1,278,23,1,289,24,1,1,0,NA,1,1,0,300,25,1,313,26,1,324,26,1,1,0,0,1,1,0,336,28,1,348,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1350",1352,1,1,5,1983,1,1,1,1,165,13,1,2,1,188,15,3,199,16,3,4,212,17,5,224,18,2,0,1,0,0,0,236,19,246,20,2,260,21,2,271,22,1,2,0,1,1,1,0,283,23,1,294,24,2,306,25,1,1,0,1,1,1,0,320,26,1,330,27,1,"2","2","1","1","1","1","1","1","1","1","1","22","21","11","11","11","11","11","11","11","11"
"1351",1353,1,1,8,1984,1,1,1,1,150,12,1,2,2,173,14,2,184,15,1,6,196,16,2,209,17,2,1,0,1,0,1,221,18,231,19,1,245,20,5,256,21,1,2,1,1,0,0,1,267,22,2,279,23,1,291,24,1,2,0,0,0,0,0,303,25,1,315,26,1,"3","1","1","1","2","1","1","1","1","1","1","31","11","11","12","21","11","11","11","11","11"
"1354",1356,-4,2,5,1981,1,1,1,1,194,16,1,2,-4,212,17,-5,-5,-5,-4,2,237,19,5,250,20,1,1,0,1,1,1,260,21,272,22,4,284,23,3,297,24,1,4,1,0,1,1,1,308,25,4,318,26,2,330,27,1,2,0,0,1,0,1,341,28,4,355,29,4,"1","2","1","2","2","2","2","1","1","2","2","12","21","12","22","22","22","21","11","12","22"
"1355",1357,1,2,10,1982,1,1,1,1,177,14,1,2,1,193,16,1,208,17,1,3,220,18,2,231,19,4,0,0,1,0,0,242,20,253,21,5,267,22,4,279,23,1,4,1,0,1,1,1,289,24,2,301,25,1,313,26,1,5,0,0,1,1,1,324,26,2,338,28,4,"2","1","2","2","2","2","1","1","2","1","2","21","12","22","22","22","21","11","12","21","12"
"1356",1358,3,2,8,1984,1,1,1,1,155,12,1,2,1,171,14,1,186,15,0,2,198,16,2,209,17,4,1,1,1,1,0,221,18,233,19,3,245,20,4,255,21,1,5,1,NA,1,1,1,267,22,6,279,23,6,291,24,1,3,1,0,1,1,1,302,25,3,316,26,3,"1","1","2","2","2","2","3","3","2","2","2","11","12","22","22","22","23","33","32","22","22"
"1357",1359,-4,1,5,1981,2,11,-4,-4,194,16,1,1,-4,212,17,-4,222,18,-4,3,235,19,1,248,20,2,1,1,1,1,0,258,21,270,22,2,284,23,3,296,24,2,3,1,0,1,1,1,305,25,5,318,26,3,330,27,12,4,1,0,1,1,1,340,28,4,353,29,3,"2","1","1","1","2","2","2","2","2","2","2","21","11","11","12","22","22","22","22","22","22"
"1358",1360,-4,1,7,1981,3,13,22,13,188,15,1,2,-4,208,17,-4,220,18,-4,3,232,19,1,248,20,2,0,0,0,0,0,257,21,268,22,2,282,23,2,293,24,25,2,0,0,0,1,0,306,25,3,315,26,2,327,27,27,2,0,0,0,0,0,338,28,2,351,29,1,"2","1","1","1","1","1","2","1","1","1","1","21","11","11","11","11","12","21","11","11","11"
"1359",1361,1,1,11,1982,3,13,22,13,172,14,1,4,1,192,16,0,205,17,0,2,216,18,2,230,19,3,0,0,1,1,0,241,20,252,21,3,266,22,3,277,23,12,1,0,0,1,1,0,291,24,2,300,24,1,312,26,12,1,0,0,0,1,0,323,26,2,336,28,2,"1","1","2","2","2","1","1","1","1","1","1","11","12","22","22","21","11","11","11","11","11"
"1360",1362,-4,2,7,1980,6,32,3,32,203,16,1,4,-4,222,18,-4,235,19,-4,2,246,20,2,257,21,1,1,0,1,1,1,268,22,281,23,2,294,24,2,305,25,2,1,1,NA,1,1,1,318,26,1,327,27,1,339,28,20,1,0,0,1,1,1,351,29,1,366,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1364",1366,-4,1,3,1980,1,27,2,2,203,16,1,2,-4,225,18,-4,241,20,-4,4,253,21,1,263,21,6,1,1,1,1,1,273,22,285,23,3,298,24,3,310,25,1,3,1,0,1,1,1,321,26,2,331,27,1,343,28,1,2,1,0,1,1,0,354,29,2,367,30,5,"2","1","3","2","2","2","1","1","1","1","2","21","13","32","22","22","21","11","11","11","12"
"1365",1367,0,1,2,1984,2,3,3,3,159,13,1,4,0,177,14,0,189,15,0,4,202,16,4,214,17,7,0,0,1,1,1,225,18,238,19,5,250,20,2,262,21,10,1,0,0,1,1,0,273,22,2,285,23,5,296,24,2,5,0,0,1,1,0,308,25,4,321,26,3,"2","2","3","2","1","1","1","2","2","2","2","22","23","32","21","11","11","12","22","22","22"
"1366",1368,1,2,12,1982,1,1,1,1,174,14,1,2,1,191,15,1,203,16,1,6,215,17,6,229,19,6,1,1,1,1,1,239,19,251,20,6,263,21,6,275,22,1,6,0,0,0,1,1,287,23,6,299,24,6,310,25,1,6,1,0,1,1,0,321,26,6,335,27,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"1368",1370,0,2,3,1984,27,27,8,8,169,14,1,4,0,177,14,0,188,15,0,2,201,16,2,214,17,2,0,0,1,1,0,225,18,236,19,1,249,20,6,260,21,8,4,0,0,1,1,0,272,22,3,283,23,2,295,24,8,2,0,1,1,1,0,307,25,3,320,26,6,"1","1","1","1","3","2","2","1","1","2","3","11","11","11","13","32","22","21","11","12","23"
"1372",1374,7,1,5,1982,2,2,27,2,182,15,1,4,0,199,16,0,213,17,-4,3,224,18,3,237,19,3,1,1,0,0,0,250,20,259,21,2,272,22,1,283,23,2,1,1,0,0,1,0,295,24,1,308,25,4,318,26,2,3,1,NA,0,1,0,331,27,2,342,28,2,"2","2","2","1","1","1","1","2","2","1","1","22","22","21","11","11","11","12","22","21","11"
"1373",1375,2,2,12,1984,2,2,27,2,151,12,1,4,0,168,14,0,181,15,0,1,191,15,1,205,17,1,0,0,0,1,0,217,18,227,18,1,239,19,3,251,20,12,2,0,NA,0,1,0,262,21,1,276,22,3,286,23,8,3,1,NA,1,1,0,297,24,2,310,25,2,"1","1","1","1","2","1","1","2","2","1","1","11","11","11","12","21","11","12","22","21","11"
"1374",1376,-4,1,4,1980,3,3,3,3,207,17,1,4,-4,223,18,-4,238,19,-4,1,248,20,1,261,21,1,0,0,0,0,0,271,22,283,23,1,297,24,2,309,25,17,1,0,0,0,0,0,319,26,1,332,27,1,342,28,17,1,0,0,0,NA,0,354,29,2,367,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1375",1377,0,1,3,1984,11,11,2,2,160,13,1,4,5,176,14,0,190,15,3,2,201,16,2,213,17,2,0,1,1,0,0,225,18,237,19,1,250,20,1,260,21,1,1,0,1,0,0,0,272,22,1,283,23,1,295,24,13,1,0,1,0,0,0,307,25,2,319,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1376",1378,1,1,6,1983,1,1,-4,-4,169,14,1,4,5,185,15,0,198,16,1,1,210,17,3,221,18,1,0,1,1,1,0,233,19,245,20,1,258,21,1,269,22,1,2,0,0,1,1,0,280,23,1,292,24,1,305,25,1,1,1,NA,1,1,NA,315,26,1,328,27,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"1377",1379,2,2,8,1984,1,1,-4,-4,153,12,1,4,3,171,14,7,184,15,1,6,196,16,7,207,17,6,1,0,1,1,1,219,18,231,19,6,243,20,2,255,21,1,6,1,1,1,0,0,266,22,2,278,23,2,291,24,1,2,1,NA,1,0,0,301,25,2,314,26,1,"3","3","3","3","1","3","1","1","1","1","1","33","33","33","31","13","31","11","11","11","11"
"1378",1380,-4,2,2,1980,11,12,2,12,210,17,1,4,-4,231,19,-4,239,19,-4,6,251,20,5,265,22,3,0,0,1,0,0,275,22,285,23,5,297,24,6,310,25,7,5,1,1,1,1,0,322,26,5,335,27,6,344,28,13,5,1,1,1,1,0,355,29,3,368,30,5,"3","2","2","2","3","2","2","3","2","2","2","32","22","22","23","32","22","23","32","22","22"
"1380",1382,0,1,4,1984,2,27,4,27,160,13,1,4,0,175,14,0,189,15,0,1,200,16,1,212,17,2,0,0,0,1,0,223,18,237,19,2,248,20,1,259,21,12,2,0,0,0,1,0,272,22,1,285,23,1,295,24,12,1,0,0,0,NA,0,306,25,1,318,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1382",1384,0,2,10,1983,2,2,-4,-4,165,13,1,4,0,181,15,0,195,16,0,1,207,17,6,219,18,7,1,1,1,1,0,229,19,243,20,2,254,21,2,267,22,2,5,1,1,1,1,0,278,23,4,291,24,5,301,25,12,6,1,1,1,1,1,313,26,5,325,27,6,"1","3","3","1","1","2","2","2","3","2","3","13","33","31","11","12","22","22","23","32","23"
"1383",1385,0,2,9,1982,3,3,-4,-4,175,14,1,4,0,194,16,0,209,17,0,1,220,18,3,233,19,2,0,0,1,0,1,246,20,254,21,2,268,22,1,278,23,8,1,0,NA,1,1,0,290,24,1,301,25,1,314,26,8,1,0,NA,1,1,NA,325,27,1,337,28,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"1384",1386,-4,2,9,1981,1,1,-4,-4,186,15,1,2,-5,-5,-5,-4,220,18,-4,2,235,19,2,247,20,1,0,0,1,0,0,254,21,266,22,2,282,23,1,292,24,1,1,NA,1,1,NA,0,303,25,7,314,26,7,325,27,12,7,0,1,1,1,1,338,28,2,350,29,7,"1","1","1","1","1","1","3","3","3","1","3","11","11","11","11","11","13","33","33","31","13"
"1385",1387,2,2,9,1982,1,1,-4,-4,174,14,1,2,3,199,16,1,208,17,2,2,221,18,1,231,19,3,1,0,1,1,1,244,20,255,21,2,267,22,1,278,23,1,1,1,1,1,1,0,291,24,1,301,25,2,313,26,1,2,NA,1,1,NA,0,326,27,5,338,28,2,"1","1","2","1","1","1","1","1","1","2","1","11","12","21","11","11","11","11","11","12","21"
"1386",1388,0,2,8,1984,1,1,-4,-4,151,12,1,2,2,176,14,5,185,15,0,2,198,16,1,208,17,7,0,1,1,0,1,221,18,231,19,1,244,20,3,255,21,1,1,0,NA,1,0,1,267,22,2,279,23,2,290,24,1,1,0,1,1,0,1,303,25,1,315,26,1,"1","1","3","1","2","1","1","1","1","1","1","11","13","31","12","21","11","11","11","11","11"
"1388",1390,-4,1,3,1982,-4,-4,-4,-4,179,14,1,4,1,203,16,0,213,17,0,3,226,18,1,238,19,2,1,NA,1,1,1,249,20,261,21,4,273,22,2,284,23,2,2,NA,NA,1,NA,1,296,24,2,307,25,2,320,26,2,1,0,0,1,NA,0,331,27,2,345,28,1,"2","1","1","2","1","1","1","1","1","1","1","21","11","12","21","11","11","11","11","11","11"
"1390",1392,-4,2,7,1980,1,1,1,1,200,16,1,2,-4,220,18,-4,234,19,-4,3,246,20,4,258,21,3,1,0,1,1,0,271,22,280,23,5,293,24,4,306,25,12,6,1,0,1,1,0,316,26,6,328,27,6,343,28,8,4,0,0,1,0,0,351,29,4,364,30,5,"2","2","2","2","2","3","3","3","2","2","2","22","22","22","22","23","33","33","32","22","22"
"1398",1400,-4,1,7,1980,2,2,-4,-4,201,16,1,1,-4,220,18,-4,232,19,-4,2,244,20,2,259,21,2,1,1,1,1,0,271,22,284,23,2,295,24,2,304,25,2,2,1,NA,1,1,0,318,26,2,328,27,2,340,28,2,2,1,0,1,1,0,351,29,2,364,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1399",1401,0,1,7,1983,2,2,-4,-4,165,13,1,1,0,184,15,0,196,16,0,1,210,17,1,222,18,2,0,0,1,1,0,234,19,248,20,1,258,21,2,270,22,12,6,1,1,1,1,0,281,23,4,293,24,5,303,25,12,4,0,1,1,1,0,314,26,2,327,27,2,"1","1","1","1","1","3","2","2","2","1","1","11","11","11","11","13","32","22","22","21","11"
"1404",1406,1,1,11,1983,13,13,13,13,161,13,1,4,1,181,15,1,192,15,1,6,206,17,6,217,18,6,1,1,1,1,0,228,19,241,20,4,254,21,3,265,22,12,3,1,NA,1,1,0,278,23,3,288,23,7,299,24,12,7,1,1,1,1,0,311,25,7,323,26,7,"3","3","3","2","2","2","2","3","3","3","3","33","33","32","22","22","22","23","33","33","33"
"1405",1407,6,1,11,1983,1,1,9,5,161,13,1,4,1,182,15,1,193,16,1,6,206,17,6,217,18,6,1,1,1,1,0,229,19,241,20,6,254,21,6,264,22,1,6,1,1,1,1,0,277,23,6,287,23,6,300,25,1,6,1,0,1,1,0,310,25,6,328,27,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"1408",1410,-4,2,5,1980,3,12,-4,-4,202,16,1,4,-4,224,18,-4,235,19,-4,3,246,20,4,258,21,2,0,0,0,1,0,271,22,282,23,2,295,24,2,306,25,12,3,0,0,1,1,1,317,26,3,329,27,6,341,28,12,6,0,NA,1,1,1,353,29,6,365,30,6,"2","2","1","1","1","2","2","3","3","3","3","22","21","11","11","12","22","23","33","33","33"
"1409",1411,-4,2,5,1980,3,3,7,3,202,16,1,4,-4,223,18,-4,234,19,-4,2,247,20,2,259,21,1,1,0,1,1,0,272,22,285,23,2,295,24,2,306,25,3,2,0,0,1,1,0,318,26,2,330,27,2,343,28,12,3,1,0,1,1,0,353,29,2,366,30,3,"1","1","1","1","1","1","1","1","2","1","2","11","11","11","11","11","11","11","12","21","12"
"1410",1412,1,2,6,1982,3,3,7,3,177,14,1,4,1,199,16,1,211,17,0,6,222,18,6,234,19,3,0,0,1,0,0,246,20,258,21,4,270,22,2,283,23,4,4,1,0,1,1,0,294,24,5,304,25,2,317,26,4,1,0,0,0,0,0,327,27,1,340,28,1,"3","3","2","2","1","2","2","1","1","1","1","33","32","22","21","12","22","21","11","11","11"
"1411",1413,0,2,8,1984,1,1,1,1,150,12,1,2,0,174,14,0,184,15,1,3,197,16,3,209,17,5,1,0,1,1,0,220,18,232,19,5,244,20,5,255,21,1,6,1,0,0,1,0,268,22,2,283,23,1,292,24,1,1,0,0,1,1,0,304,25,1,316,26,2,"2","2","2","2","2","3","1","1","1","1","1","22","22","22","22","23","31","11","11","11","11"
"1412",1414,2,2,7,1982,2,2,-2,-2,181,15,1,4,2,196,16,2,210,17,-4,3,224,18,4,232,19,2,0,0,0,0,0,245,20,255,21,2,271,22,3,280,23,12,3,0,0,1,1,1,291,24,3,304,25,3,315,26,12,3,0,0,1,1,0,327,27,2,342,28,2,"2","2","1","1","2","2","2","2","2","1","1","22","21","11","12","22","22","22","22","21","11"
"1414",1416,-4,2,8,1982,-4,-4,-4,-4,179,14,1,4,-4,200,16,-4,206,17,0,4,221,18,5,234,19,5,0,0,1,1,0,245,20,255,21,2,270,22,6,280,23,3,4,0,NA,1,1,0,291,24,5,305,25,5,314,26,12,1,0,0,1,NA,1,325,27,2,338,28,6,"2","2","2","1","3","2","2","2","1","1","3","22","22","21","13","32","22","22","21","11","13"
"1416",1418,1,1,11,1983,7,27,-4,-4,161,13,1,4,0,184,15,0,194,16,-4,2,205,17,6,218,18,6,0,0,1,0,0,233,19,243,20,1,252,21,1,266,22,2,2,0,0,0,0,0,276,22,1,287,23,6,300,24,1,6,0,0,0,NA,0,311,25,1,323,26,1,"1","3","3","1","1","1","1","3","3","1","1","13","33","31","11","11","11","13","33","31","11"
"1419",1421,1,1,6,1983,5,27,1,27,164,13,1,4,0,187,15,0,197,16,0,4,210,17,3,223,18,2,0,0,0,1,0,235,19,247,20,2,259,21,2,270,22,12,2,0,0,0,1,0,280,23,2,292,24,2,305,25,12,3,0,0,1,1,0,316,26,2,329,27,2,"2","2","1","1","1","1","1","1","2","1","1","22","21","11","11","11","11","11","12","21","11"
"1420",1422,0,2,7,1982,2,12,-4,-4,181,15,1,1,0,197,16,0,208,17,-4,6,221,18,3,233,19,4,1,0,1,1,1,246,20,258,21,3,269,22,3,280,23,2,5,0,0,1,NA,1,292,24,5,303,25,6,315,26,2,6,0,0,1,1,1,327,27,7,340,28,7,"3","2","2","2","2","2","2","3","3","3","3","32","22","22","22","22","22","23","33","33","33"
"1422",1424,-1,2,7,1983,2,2,-4,-4,168,14,1,1,-4,189,15,-4,201,16,-4,2,211,17,1,221,18,1,1,1,0,1,0,232,19,243,20,4,256,21,1,268,22,27,1,0,NA,NA,NA,NA,279,23,1,291,24,1,305,25,27,1,1,0,0,1,1,315,26,2,329,27,1,"1","1","1","2","1","1","1","1","1","1","1","11","11","12","21","11","11","11","11","11","11"
"1423",1425,-4,1,3,1981,-4,-4,-4,-4,197,16,1,1,-4,213,17,-4,224,18,-4,3,237,19,3,248,20,2,0,1,1,0,0,260,21,273,22,3,284,23,2,296,24,2,6,1,NA,1,1,1,308,25,3,319,26,6,331,27,2,7,1,1,1,1,1,344,28,5,357,29,5,"2","2","1","2","1","3","2","3","3","2","2","22","21","12","21","13","32","23","33","32","22"
"1425",1427,1,2,6,1984,-4,-4,-4,-4,158,13,1,1,5,174,14,4,185,15,-4,2,198,16,2,209,17,7,0,0,1,0,1,223,18,233,19,4,245,20,1,257,21,21,4,1,1,1,1,1,269,22,1,280,23,2,294,24,12,1,0,1,1,1,0,305,25,2,318,26,1,"1","1","3","2","1","2","1","1","1","1","1","11","13","32","21","12","21","11","11","11","11"
"1426",1428,-4,2,3,1980,1,27,-4,-4,209,17,1,1,-4,224,18,-4,237,19,-4,2,250,20,3,260,21,3,1,1,1,1,0,272,22,283,23,1,298,24,6,308,25,2,3,1,1,1,NA,0,320,26,6,331,27,3,346,28,12,5,1,1,1,1,1,355,29,6,369,30,3,"1","2","2","1","3","2","3","2","2","3","2","12","22","21","13","32","23","32","22","23","32"
"1430",1432,6,2,7,1982,4,18,-4,-4,177,14,1,4,7,197,16,7,211,17,-4,6,223,18,7,233,19,6,0,1,1,1,1,244,20,257,21,6,269,22,5,280,23,18,5,0,1,1,1,1,293,24,5,303,25,4,316,26,18,5,1,1,1,1,1,327,27,3,341,28,3,"3","3","3","3","2","2","2","2","2","2","2","33","33","33","32","22","22","22","22","22","22"
"1431",1433,2,2,9,1984,4,18,-4,-4,151,12,1,4,7,171,14,7,182,15,7,7,196,16,7,208,17,6,1,1,1,1,1,219,18,231,19,6,243,20,6,256,21,18,6,1,0,1,1,1,268,22,6,278,23,6,291,24,18,3,0,0,1,1,1,301,25,3,320,26,1,"3","3","3","3","3","3","3","3","2","2","1","33","33","33","33","33","33","33","32","22","21"
"1432",1434,-4,1,6,1980,-4,-4,-4,-4,215,17,1,4,-4,221,18,-4,233,19,-4,4,246,20,3,257,21,2,1,0,1,1,0,270,22,281,23,2,294,24,2,305,25,27,2,0,0,1,1,0,317,26,2,328,27,2,340,28,-2,2,0,0,1,1,0,352,29,1,365,30,2,"2","2","1","1","1","1","1","1","1","1","1","22","21","11","11","11","11","11","11","11","11"
"1433",1435,0,1,10,1982,1,1,1,1,172,14,1,4,0,194,16,0,205,17,0,1,218,18,3,231,19,2,0,0,1,1,0,242,20,254,21,1,266,22,1,277,23,8,1,0,0,1,1,0,291,24,1,301,25,1,313,26,8,1,0,0,0,1,0,324,27,1,339,28,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"1434",1436,0,2,2,1984,1,1,1,1,157,13,1,4,0,178,14,0,189,15,-4,1,202,16,2,215,17,1,0,0,1,1,0,226,18,236,19,1,249,20,1,261,21,1,1,0,0,1,0,1,276,22,1,284,23,1,297,24,2,2,0,0,1,NA,0,309,25,2,323,26,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1436",1438,1,2,5,1982,3,3,3,3,179,14,1,4,1,199,16,7,210,17,1,6,223,18,3,235,19,5,0,0,1,1,0,247,20,258,21,5,271,22,5,282,23,2,5,0,0,1,1,0,295,24,5,306,25,5,318,26,2,6,1,0,1,1,1,329,27,6,343,28,4,"3","2","2","2","2","2","2","2","3","3","2","32","22","22","22","22","22","22","23","33","32"
"1437",1439,1,1,4,1983,2,1,-4,-4,168,14,1,4,0,188,15,0,199,16,0,1,213,17,1,225,18,1,0,0,0,0,0,235,19,252,20,2,262,21,1,271,22,27,1,0,0,0,0,0,283,23,1,294,24,1,307,25,1,1,0,0,0,0,0,317,26,1,336,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1438",1440,-4,2,4,1981,2,2,16,27,192,16,1,4,-4,212,17,-4,224,18,-4,6,237,19,6,248,20,6,1,1,1,1,1,260,21,273,22,6,284,23,7,297,24,13,7,1,1,1,1,1,307,25,6,319,26,6,331,27,12,6,1,1,1,1,1,342,28,6,356,29,6,"3","3","3","3","3","3","3","3","3","3","3","33","33","33","33","33","33","33","33","33","33"
"1439",1441,-4,1,5,1980,1,1,1,1,202,16,1,4,-4,223,18,-5,-5,-5,-4,1,247,20,1,260,21,1,0,1,1,0,0,271,22,284,23,1,298,24,2,308,25,1,2,0,NA,0,NA,0,319,26,2,332,27,1,342,28,1,1,0,0,0,1,0,354,29,1,368,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1440",1442,-4,2,7,1981,1,1,1,1,188,15,1,4,-4,209,17,-4,220,18,-4,2,233,19,2,246,20,1,1,0,1,1,0,258,21,268,22,1,282,23,1,292,24,12,1,0,0,0,1,0,305,25,1,315,26,1,332,27,1,1,1,0,1,1,1,339,28,1,352,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1441",1443,0,1,1,1983,1,1,1,1,170,14,1,4,0,191,15,0,202,16,0,1,215,17,2,228,19,1,1,0,0,1,0,239,19,249,20,1,263,21,1,274,22,1,1,0,0,1,1,0,287,23,1,298,24,2,310,25,12,2,0,0,0,1,0,322,26,1,336,28,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1442",1444,-4,2,2,1981,12,12,13,12,192,16,1,4,-4,212,17,-4,226,18,-4,1,238,19,1,249,20,1,0,0,0,0,0,262,21,278,23,1,287,23,1,298,24,27,1,0,0,0,0,0,312,26,1,321,26,1,334,27,26,1,0,0,0,0,0,347,28,1,361,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1443",1445,1,2,1,1982,1,1,3,26,181,15,1,4,0,202,16,0,213,17,-4,3,227,18,2,238,19,1,0,0,0,0,0,250,20,261,21,2,276,22,1,286,23,27,1,0,0,0,0,0,298,24,2,309,25,2,322,26,27,2,0,0,0,0,0,332,27,1,346,28,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"1444",1446,1,1,10,1984,1,1,3,26,148,12,1,4,1,169,14,1,180,15,0,3,194,16,1,205,17,2,0,0,0,0,0,217,18,228,19,1,243,20,1,253,21,27,1,0,0,0,0,0,264,22,1,276,22,3,288,23,26,1,0,0,0,0,0,302,25,1,314,26,1,"2","1","1","1","1","1","1","2","1","1","1","21","11","11","11","11","11","12","21","11","11"
"1445",1447,1,1,10,1983,1,1,1,1,160,13,1,4,1,180,15,1,192,16,1,2,206,17,2,217,18,1,0,0,1,1,0,230,19,241,20,1,253,21,2,265,22,25,2,NA,0,0,0,0,279,23,1,289,24,1,302,25,26,1,0,0,0,0,0,313,26,1,326,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"1448",1450,-4,2,9,1981,15,15,3,15,185,15,1,4,-4,205,17,-4,219,18,-4,4,236,19,3,245,20,3,0,0,0,1,0,255,21,266,22,2,279,23,2,292,24,15,4,0,0,0,1,0,302,25,3,313,26,3,325,27,15,3,0,0,0,1,0,337,28,3,350,29,2,"2","2","2","1","1","2","2","2","2","2","1","22","22","21","11","12","22","22","22","22","21"
"1449",1451,-4,2,9,1981,-4,-4,-4,-4,188,15,1,4,-4,209,17,-4,222,18,-4,1,235,19,1,246,20,1,0,0,1,1,1,256,21,266,22,1,279,23,1,290,24,27,1,0,0,1,1,0,303,25,1,315,26,1,325,27,27,1,0,0,1,1,1,339,28,1,351,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
