"","id","famrel_1997","sex","bmonth","byear","praised","prelpref","psraised","psrelpref","agemon_1997","ageyear_1997","samplesype","race","famrel_1998","agemon_1998","ageyear_1998","famrel_1999","agemon_1999","ageyear_1999","famrel_2000","attend_2000","agemon_2000","ageyear_2000","attend_2001","agemon_2001","ageyear_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","ageyear_2002","agemon_2003","ageyear_2003","attend_2003","agemon_2004","ageyear_2004","attend_2004","agemon_2005","ageyear_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","ageyear_2006","attend_2006","agemon_2007","ageyear_2007","attend_2007","agemon_2008","ageyear_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","ageyear_2009","attend_2009","agemon_2010","ageyear_2010","attend_2010","attcat_2000","attcat_2001","attcat_2002","attcat_2003","attcat_2004","attcat_2005","attcat_2006","attcat_2007","attcat_2008","attcat_2009","attcat_2010","transcat_2001","transcat_2002","transcat_2003","transcat_2004","transcat_2005","transcat_2006","transcat_2007","transcat_2008","transcat_2009","transcat_2010"
"26",27,-4,1,5,1981,27,27,-4,-4,189,15,1,1,-5,-5,-5,-4,226,18,-4,2,237,19,2,247,20,2,0,0,1,1,1,259,21,273,22,4,283,23,2,294,24,2,1,0,1,1,1,0,308,25,1,317,26,1,329,27,13,1,0,1,1,1,0,341,28,1,354,29,1,"1","1","1","2","1","1","1","1","1","1","1","11","11","12","21","11","11","11","11","11","11"
"27",28,7,2,11,1983,13,13,1,25,159,13,1,1,6,182,15,5,193,16,7,6,205,17,6,217,18,6,0,1,1,1,1,229,19,241,20,6,253,21,6,265,22,32,6,0,1,1,1,1,279,23,6,289,24,6,301,25,32,5,0,0,1,1,1,311,25,2,325,27,4,"3","3","3","3","3","3","3","3","2","1","2","33","33","33","33","33","33","33","32","21","12"
"32",33,-4,2,12,1980,1,1,1,1,199,16,1,4,-4,217,18,-4,228,18,-4,2,240,19,3,253,21,2,1,0,1,1,0,265,22,275,22,2,287,23,2,301,25,1,3,1,0,1,NA,0,311,25,2,323,26,3,335,27,1,2,1,0,1,1,0,346,28,2,359,29,2,"1","2","1","1","1","2","1","2","1","1","1","12","21","11","11","12","21","12","21","11","11"
"33",34,0,2,12,1984,16,16,16,16,149,12,1,4,0,169,14,2,180,15,1,3,193,16,2,204,17,2,1,0,1,1,1,217,18,229,19,2,239,19,2,251,20,17,2,0,NA,1,1,0,263,21,1,274,22,1,287,23,15,1,0,0,1,1,0,299,24,1,310,25,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"34",35,0,1,1,1983,-4,-4,-4,-4,175,14,1,4,0,193,16,0,202,16,0,1,216,17,1,227,18,1,0,NA,0,NA,0,239,19,250,20,1,264,21,1,274,22,25,1,0,0,0,NA,0,286,23,1,297,24,1,310,25,27,1,0,0,0,NA,0,320,26,1,334,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"36",37,-4,2,11,1980,1,1,1,1,198,16,1,4,-4,219,18,-4,231,19,-4,1,243,20,1,253,21,2,0,0,NA,1,0,266,22,279,23,1,289,24,1,300,25,25,2,0,0,0,0,0,313,26,1,327,27,2,335,27,25,1,0,0,0,NA,0,352,29,1,360,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"37",38,-4,2,9,1981,1,1,1,1,190,15,1,4,-4,209,17,-4,221,18,-4,1,233,19,1,243,20,3,0,0,1,1,0,256,21,269,22,1,279,23,1,290,24,25,1,0,0,0,0,0,303,25,1,318,26,1,325,27,25,1,0,0,0,NA,0,336,28,1,350,29,1,"1","1","2","1","1","1","1","1","1","1","1","11","12","21","11","11","11","11","11","11","11"
"40",41,0,2,1,1983,-4,-4,-4,-4,169,14,1,4,0,192,16,0,201,16,0,2,216,17,2,227,18,1,0,0,0,1,0,238,19,251,20,1,265,22,1,274,22,27,1,0,0,0,1,0,287,23,1,298,24,1,310,25,27,1,0,0,0,1,0,321,26,2,334,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"41",42,4,1,8,1983,-4,-4,-4,-4,162,13,1,4,1,185,15,1,194,16,0,1,209,17,2,220,18,1,0,0,0,0,0,232,19,243,20,1,256,21,1,268,22,22,1,0,0,0,0,0,279,23,1,290,24,1,308,25,25,1,0,0,0,0,0,314,26,1,332,27,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"43",44,-4,1,12,1981,6,6,6,6,186,15,1,2,-4,206,17,-4,216,18,-4,7,229,19,7,241,20,7,0,1,1,0,1,252,21,267,22,7,275,22,7,288,23,11,6,0,1,1,1,1,300,25,7,312,26,7,324,27,13,7,1,1,1,1,1,335,27,7,347,28,2,"3","3","3","3","3","3","3","3","3","3","1","33","33","33","33","33","33","33","33","33","31"
