"id","byear","time","attend"
37,"1980",2004,1
37,"1980",2005,2
37,"1980",2006,1
37,"1980",2007,2
37,"1980",2008,1
37,"1980",2009,1
37,"1980",2010,1
38,"1981",2000,1
38,"1981",2001,1
38,"1981",2002,3
38,"1981",2003,1
38,"1981",2004,1
38,"1981",2005,1
38,"1981",2006,1
38,"1981",2007,1
38,"1981",2008,1
38,"1981",2009,1
38,"1981",2010,1
39,"1980",2000,6
39,"1980",2001,2
39,"1980",2002,2
39,"1980",2003,2
39,"1980",2004,3
39,"1980",2005,2
39,"1980",2006,5
39,"1980",2007,2
39,"1980",2008,3
39,"1980",2009,4
39,"1980",2010,NA
40,"1984",2000,1
40,"1984",2001,1
40,"1984",2002,1
40,"1984",2003,NA
40,"1984",2004,1
40,"1984",2005,NA
40,"1984",2006,NA
40,"1984",2007,NA
40,"1984",2008,NA
40,"1984",2009,NA
40,"1984",2010,NA
41,"1983",2000,2
41,"1983",2001,2
41,"1983",2002,1
41,"1983",2003,1
41,"1983",2004,1
41,"1983",2005,1
41,"1983",2006,1
41,"1983",2007,1
41,"1983",2008,1
41,"1983",2009,2
41,"1983",2010,1
42,"1983",2000,1
42,"1983",2001,2
42,"1983",2002,1
42,"1983",2003,1
42,"1983",2004,1
42,"1983",2005,1
42,"1983",2006,1
42,"1983",2007,1
42,"1983",2008,1
42,"1983",2009,1
42,"1983",2010,1
43,"1981",2000,2
43,"1981",2001,NA
43,"1981",2002,2
43,"1981",2003,1
43,"1981",2004,3
43,"1981",2005,1
43,"1981",2006,1
43,"1981",2007,1
43,"1981",2008,NA
43,"1981",2009,1
43,"1981",2010,1
44,"1981",2000,7
44,"1981",2001,7
44,"1981",2002,7
44,"1981",2003,7
44,"1981",2004,7
44,"1981",2005,6
44,"1981",2006,7
44,"1981",2007,7
44,"1981",2008,7
44,"1981",2009,7
44,"1981",2010,2
45,"1984",2000,3
45,"1984",2001,1
45,"1984",2002,1
45,"1984",2003,1
45,"1984",2004,5
45,"1984",2005,1
45,"1984",2006,1
45,"1984",2007,2
45,"1984",2008,1
45,"1984",2009,2
45,"1984",2010,1
46,"1984",2000,3
46,"1984",2001,2
46,"1984",2002,2
46,"1984",2003,6
46,"1984",2004,4
46,"1984",2005,NA
46,"1984",2006,NA
46,"1984",2007,NA
46,"1984",2008,NA
46,"1984",2009,NA
46,"1984",2010,NA
47,"1982",2000,5
47,"1982",2001,2
47,"1982",2002,4
47,"1982",2003,2
47,"1982",2004,3
47,"1982",2005,2
47,"1982",2006,2
47,"1982",2007,3
47,"1982",2008,2
47,"1982",2009,1
47,"1982",2010,1
48,"1983",2000,3
48,"1983",2001,3
48,"1983",2002,3
48,"1983",2003,1
48,"1983",2004,2
48,"1983",2005,5
48,"1983",2006,3
48,"1983",2007,4
48,"1983",2008,3
48,"1983",2009,2
