"id","time","attend","age2000","byear"
7281,2008,5,16.0833333333333,1984
7281,2009,6,16.0833333333333,1984
7281,2010,6,16.0833333333333,1984
7285,2000,6,16.4166666666667,1984
7285,2001,6,16.4166666666667,1984
7285,2002,5,16.4166666666667,1984
7285,2003,5,16.4166666666667,1984
7285,2004,5,16.4166666666667,1984
7285,2005,3,16.4166666666667,1984
7285,2006,4,16.4166666666667,1984
7285,2007,4,16.4166666666667,1984
7285,2008,4,16.4166666666667,1984
7285,2009,4,16.4166666666667,1984
7285,2010,3,16.4166666666667,1984
7286,2000,2,17.9166666666667,1983
7286,2001,5,17.9166666666667,1983
7286,2002,4,17.9166666666667,1983
7286,2003,5,17.9166666666667,1983
7286,2004,4,17.9166666666667,1983
7286,2005,3,17.9166666666667,1983
7286,2006,5,17.9166666666667,1983
7286,2007,3,17.9166666666667,1983
7286,2008,4,17.9166666666667,1983
7286,2009,6,17.9166666666667,1983
7286,2010,4,17.9166666666667,1983
7287,2000,6,19.8333333333333,1981
7287,2001,1,19.8333333333333,1981
7287,2002,3,19.8333333333333,1981
7287,2003,3,19.8333333333333,1981
7287,2004,1,19.8333333333333,1981
7287,2005,2,19.8333333333333,1981
7287,2006,1,19.8333333333333,1981
7287,2007,2,19.8333333333333,1981
7287,2008,3,19.8333333333333,1981
7287,2009,2,19.8333333333333,1981
7287,2010,1,19.8333333333333,1981
7289,2000,6,18.5,1982
7289,2001,3,18.5,1982
7289,2002,2,18.5,1982
7289,2003,3,18.5,1982
7289,2004,6,18.5,1982
7289,2005,3,18.5,1982
7289,2006,2,18.5,1982
7289,2007,2,18.5,1982
7289,2008,1,18.5,1982
7289,2009,1,18.5,1982
7289,2010,1,18.5,1982
7290,2000,2,18.5833333333333,1982
7290,2001,5,18.5833333333333,1982
7290,2002,5,18.5833333333333,1982
7290,2003,1,18.5833333333333,1982
7290,2004,4,18.5833333333333,1982
7290,2005,5,18.5833333333333,1982
7290,2006,3,18.5833333333333,1982
7290,2007,3,18.5833333333333,1982
7290,2008,4,18.5833333333333,1982
7290,2009,3,18.5833333333333,1982
7290,2010,4,18.5833333333333,1982
7294,2000,7,16.5833333333333,1984
7294,2001,7,16.5833333333333,1984
7294,2002,7,16.5833333333333,1984
7294,2003,7,16.5833333333333,1984
7294,2004,7,16.5833333333333,1984
7294,2005,6,16.5833333333333,1984
7294,2006,7,16.5833333333333,1984
7294,2007,7,16.5833333333333,1984
7294,2008,7,16.5833333333333,1984
7294,2009,7,16.5833333333333,1984
7294,2010,7,16.5833333333333,1984
7296,2000,6,18.25,1982
7296,2001,6,18.25,1982
7296,2002,4,18.25,1982
7296,2003,5,18.25,1982
7296,2004,6,18.25,1982
7296,2005,5,18.25,1982
7296,2006,2,18.25,1982
7296,2007,4,18.25,1982
7296,2008,4,18.25,1982
7296,2009,6,18.25,1982
7296,2010,6,18.25,1982
7299,2000,4,16.75,1984
7299,2001,3,16.75,1984
7299,2002,4,16.75,1984
7299,2003,3,16.75,1984
7299,2004,4,16.75,1984
7299,2005,3,16.75,1984
7299,2006,3,16.75,1984
7299,2007,3,16.75,1984
7299,2008,2,16.75,1984
7299,2009,3,16.75,1984
7299,2010,2,16.75,1984
7302,2000,3,16.4166666666667,1984
7302,2001,7,16.4166666666667,1984
7302,2002,7,16.4166666666667,1984
7302,2003,6,16.4166666666667,1984
7302,2004,7,16.4166666666667,1984
7302,2005,7,16.4166666666667,1984
7302,2006,6,16.4166666666667,1984
7302,2007,6,16.4166666666667,1984
7302,2008,2,16.4166666666667,1984
7302,2009,2,16.4166666666667,1984
7302,2010,6,16.4166666666667,1984
7303,2000,4,19.5,1981
7303,2001,5,19.5,1981
7303,2002,3,19.5,1981
7303,2003,4,19.5,1981
7303,2004,6,19.5,1981
7303,2005,6,19.5,1981
7303,2006,6,19.5,1981
7303,2007,6,19.5,1981
7303,2008,7,19.5,1981
7303,2009,1,19.5,1981
7303,2010,4,19.5,1981
7306,2000,3,18.25,1982
7306,2001,5,18.25,1982
7306,2002,3,18.25,1982
7306,2003,3,18.25,1982
7306,2004,2,18.25,1982
7306,2005,2,18.25,1982
7306,2006,3,18.25,1982
7306,2007,6,18.25,1982
7306,2008,4,18.25,1982
7306,2009,4,18.25,1982
7306,2010,2,18.25,1982
7308,2000,6,19.4166666666667,1981
7308,2001,5,19.4166666666667,1981
7308,2002,6,19.4166666666667,1981
7308,2003,6,19.4166666666667,1981
7308,2004,7,19.4166666666667,1981
7308,2005,6,19.4166666666667,1981
7308,2006,6,19.4166666666667,1981
7308,2007,6,19.4166666666667,1981
7308,2008,6,19.4166666666667,1981
7308,2009,6,19.4166666666667,1981
7308,2010,6,19.4166666666667,1981
7311,2000,2,19.5833333333333,1981
7311,2001,5,19.5833333333333,1981
7311,2002,3,19.5833333333333,1981
7311,2003,5,19.5833333333333,1981
7311,2004,3,19.5833333333333,1981
7311,2005,6,19.5833333333333,1981
7311,2006,4,19.5833333333333,1981
